,subgroup,TOXICITY@1_subgroup_auc,TOXICITY@1_bpsn_auc,TOXICITY@1_bnsp_auc,TOXICITY@2_subgroup_auc,TOXICITY@2_bpsn_auc,TOXICITY@2_bnsp_auc,TOXICITY@3_subgroup_auc,TOXICITY@3_bpsn_auc,TOXICITY@3_bnsp_auc,TOXICITY@4_subgroup_auc,TOXICITY@4_bpsn_auc,TOXICITY@4_bnsp_auc,TOXICITY@5_subgroup_auc,TOXICITY@5_bpsn_auc,TOXICITY@5_bnsp_auc,TOXICITY@6_subgroup_auc,TOXICITY@6_bpsn_auc,TOXICITY@6_bnsp_auc
10,straight,0.99294691358,0.995750742303,0.873676824504,0.995271604938,0.985168229411,0.984229723394,0.995196296296,0.985117674637,0.983852047195,0.995260493827,0.985137990311,0.984196632286,0.99560617284,0.99849132677,0.971631739334,0.996675925926,0.999013556806,0.974325285201
11,heterosexual,0.955741975309,0.943966713549,0.924559110799,0.986385185185,0.990311689326,0.957511720581,0.986245061728,0.990203469292,0.957266486951,0.986398765432,0.990321065792,0.957427918425,0.995607407407,0.988232770745,0.993786372871,0.999199382716,0.993718393499,0.995992342554
12,male,0.989318518519,0.992426316612,0.894827668386,0.989830864198,0.977068760744,0.986581731521,0.989625308642,0.976862283169,0.98636646351,0.989780864198,0.977010001563,0.986542076887,0.998038888889,0.997023714643,0.988722183154,0.999039506173,0.999490623535,0.980366541647
13,female,0.991732098765,0.992048757618,0.898080285982,0.988374074074,0.967479879669,0.990948116893,0.987785185185,0.966992108142,0.990682059697,0.988340123457,0.967441709642,0.990939287389,0.999095061728,0.997887130802,0.990957571496,0.999525308642,0.999206868261,0.989789693702
14,nonbinary,0.986565432099,0.990452492577,0.900284614784,0.992356790123,0.966142053446,0.994264260041,0.992256790123,0.965874042819,0.994141115799,0.992290123457,0.966106422879,0.994230661041,0.978859876543,0.989289381153,0.979200109392,0.999859876543,0.999872597281,0.980508360681
15,african,0.933346838274,0.932473824498,0.918184598401,0.984110888123,0.980820136707,0.977623299783,0.98403394137,0.980697339141,0.977446411985,0.984131106274,0.980796160951,0.977651908535,0.996889741585,0.993035818991,0.992521510075,0.993018652521,0.988511906615,0.993071215083
16,african american,0.940085175344,0.942826361393,0.914241773264,0.98492471781,0.97915662638,0.980186510474,0.984904303365,0.979035574203,0.980139262064,0.984921577126,0.97911440905,0.980210178427,0.998340933788,0.995247772412,0.99251917673,0.990954830686,0.987095409239,0.992432729639
17,black,0.907731421285,0.853516935405,0.951452564871,0.9446564406,0.899713499641,0.989795305888,0.942819925754,0.898257723628,0.989664322796,0.944481347479,0.8996315149,0.989759475844,0.985170476316,0.964624284143,0.995896913069,0.98378936062,0.968622943338,0.995672351875
18,white,0.912778500135,0.88371768165,0.940777267845,0.964387786509,0.941454407559,0.986425881769,0.964037600266,0.940928287763,0.986231069575,0.96423153749,0.941227002711,0.986392676636,0.969324156255,0.963750451047,0.99133105421,0.993441467076,0.990565411224,0.991668180366
19,european,0.923595015107,0.927609704683,0.914021849415,0.987327340909,0.987339176037,0.97415573216,0.987218202147,0.987216417668,0.97384100525,0.987322629883,0.987296521222,0.974123533243,0.995429519915,0.995100121131,0.987763842997,0.988686471819,0.988274913299,0.98980444933
20,hispanic,0.927943291813,0.922386217954,0.924090835593,0.98286128856,0.979072629206,0.978971307615,0.982802400739,0.979000531632,0.97883030611,0.982813393132,0.979081203917,0.978911853366,0.986243805001,0.984921894878,0.989086623485,0.992804693438,0.991135454542,0.990947029632
21,latino,0.930163755253,0.907229890464,0.938244184333,0.973555442491,0.958365750992,0.98459255596,0.973192693513,0.958012219139,0.98436195747,0.973513828431,0.958379663024,0.984565038136,0.996102411417,0.990143369176,0.994687922501,0.995338440085,0.991860192655,0.993176979595
22,latina,0.926526843424,0.927225067626,0.917505282197,0.986579858167,0.98997948719,0.967416971419,0.986496630046,0.989909445797,0.967261270408,0.986506837269,0.98997117497,0.967357823409,0.997510222926,0.996076850764,0.990451577554,0.996524048216,0.993427571162,0.993034228148
23,latinx,0.884210840384,0.894299575569,0.913108861387,0.978142411166,0.982494376564,0.970005484315,0.977843261035,0.982298558154,0.969609297647,0.978040338943,0.982449053089,0.969911818717,0.960814473527,0.966670752779,0.986885547551,0.978460405399,0.987870676902,0.982215435951
24,mexican,0.919499563445,0.907947497567,0.928248301945,0.977969673557,0.965180109189,0.98412987153,0.977463238296,0.964862582374,0.983778920839,0.97799636937,0.965176084325,0.984089797878,0.990607785127,0.985301194615,0.992355600984,0.987581736296,0.981687478716,0.993584453383
